account|team|date|followers|following|tweets|lists|favourites
@OrlandoMagic|Orlando Magic|April 5, 2020|1,505,792  (-1)|1,146  (0)|44,046  (+7)|7,008  (+2)|9,916  (+6)
@OrlandoMagic|Orlando Magic|April 4, 2020|1,505,793  (+50)|1,146  (-1)|44,039  (+5)|7,006  (-3)|9,910  (+2)
@OrlandoMagic|Orlando Magic|April 3, 2020|1,505,743  (+15)|1,147  (+1)|44,034  (+10)|7,009  (0)|9,908  (+12)
@OrlandoMagic|Orlando Magic|April 2, 2020|1,505,728  (+41)|1,146  (-1)|44,024  (+6)|7,009  (-3)|9,896  (0)
@OrlandoMagic|Orlando Magic|April 1, 2020|1,505,687  (+41)|1,147  (0)|44,018  (+6)|7,012  (-2)|9,896  (-2)
@OrlandoMagic|Orlando Magic|March 31, 2020|1,505,646  (+12)|1,147  (0)|44,012  (+4)|7,014  (-3)|9,898  (+1)
@OrlandoMagic|Orlando Magic|March 30, 2020|1,505,634  (-106)|1,147  (0)|44,008  (+5)|7,017  (+1)|9,897  (+2)
@OrlandoMagic|Orlando Magic|March 29, 2020|1,505,740  (+44)|1,147  (0)|44,003  (+7)|7,016  (-1)|9,895  (0)
@OrlandoMagic|Orlando Magic|March 28, 2020|1,505,696  (-38)|1,147  (0)|43,996  (+2)|7,017  (-1)|9,895  (-1)
@OrlandoMagic|Orlando Magic|March 27, 2020|1,505,734  (-41)|1,147  (0)|43,994  (+8)|7,018  (0)|9,896  (0)
@OrlandoMagic|Orlando Magic|March 26, 2020|1,505,775  (+19)|1,147  (-1)|43,986  (+9)|7,018  (0)|9,896  (+3)
@OrlandoMagic|Orlando Magic|March 25, 2020|1,505,756  (-4)|1,148  (0)|43,977  (+6)|7,018  (-1)|9,893  (+2)
@OrlandoMagic|Orlando Magic|March 24, 2020|1,505,760  (+11)|1,148  (0)|43,971  (+2)|7,019  (+7)|9,891  (+1)
@OrlandoMagic|Orlando Magic|March 23, 2020|1,505,749  (+18)|1,148  (0)|43,969  (+3)|7,012  (+6)|9,890  (+4)
@OrlandoMagic|Orlando Magic|March 22, 2020|1,505,731  (-91)|1,148  (0)|43,966  (+2)|7,006  (0)|9,886  (+5)
@OrlandoMagic|Orlando Magic|March 21, 2020|1,505,822  (-32)|1,148  (0)|43,964  (+13)|7,006  (+2)|9,881  (+17)
@OrlandoMagic|Orlando Magic|March 20, 2020|1,505,854  (-101)|1,148  (+1)|43,951  (+22)|7,004  (-1)|9,864  (+10)
@OrlandoMagic|Orlando Magic|March 19, 2020|1,505,955  (-109)|1,147  (0)|43,929  (+11)|7,005  (+1)|9,854  (+5)
@OrlandoMagic|Orlando Magic|March 18, 2020|1,506,064  (-100)|1,147  (-1)|43,918  (+12)|7,004  (+1)|9,849  (+12)
@OrlandoMagic|Orlando Magic|March 17, 2020|1,506,164  (-84)|1,148  (0)|43,906  (+3)|7,003  (-3)|9,837  (0)
@OrlandoMagic|Orlando Magic|March 16, 2020|1,506,248  (-56)|1,148  (0)|43,903  (+1)|7,006  (0)|9,837  (0)
@OrlandoMagic|Orlando Magic|March 15, 2020|1,506,304  (+47)|1,148  (0)|43,902  (0)|7,006  (+3)|9,837  (-1)
@OrlandoMagic|Orlando Magic|March 14, 2020|1,506,257  (+88)|1,148  (0)|43,902  (0)|7,003  (0)|9,838  (0)
@OrlandoMagic|Orlando Magic|March 13, 2020|1,506,169  (+53)|1,148  (+1)|43,902  (0)|7,003  (+1)|9,838  (0)
@OrlandoMagic|Orlando Magic|March 12, 2020|1,506,116  (+209)|1,147  (-2)|43,902  (+1)|7,002  (+1)|9,838  (-1)
@OrlandoMagic|Orlando Magic|March 11, 2020|1,505,907  (+8)|1,149  (+1)|43,901  (+31)|7,001  (+1)|9,839  (+2)
@OrlandoMagic|Orlando Magic|March 10, 2020|1,505,899  (+79)|1,148  (0)|43,870  (+14)|7,000  (+3)|9,837  (+1)
@OrlandoMagic|Orlando Magic|March 9, 2020|1,505,820  (+55)|1,148  (-1)|43,856  (+26)|6,997  (-1)|9,836  (0)
@OrlandoMagic|Orlando Magic|March 8, 2020|1,505,765  (-15)|1,149  (0)|43,830  (+10)|6,998  (+1)|9,836  (0)
@OrlandoMagic|Orlando Magic|March 7, 2020|1,505,780  (+66)|1,149  (-1)|43,820  (+34)|6,997  (-1)|9,836  (0)
@OrlandoMagic|Orlando Magic|March 6, 2020|1,505,714  (+89)|1,150  (+2)|43,786  (+7)|6,998  (+2)|9,836  (0)
@OrlandoMagic|Orlando Magic|March 5, 2020|1,505,625  (-11)|1,148  (+1)|43,779  (+31)|6,996  (0)|9,836  (0)
@OrlandoMagic|Orlando Magic|March 4, 2020|1,505,636  (+84)|1,147  (0)|43,748  (+9)|6,996  (+2)|9,836  (0)
@OrlandoMagic|Orlando Magic|March 3, 2020|1,505,552  (+98)|1,147  (-1)|43,739  (+26)|6,994  (-1)|9,836  (+1)
@OrlandoMagic|Orlando Magic|March 2, 2020|1,505,454  (+135)|1,148  (+1)|43,713  (+6)|6,995  (+6)|9,835  (0)
@OrlandoMagic|Orlando Magic|March 1, 2020|1,505,319  (+179)|1,147  (-2)|43,707  (+21)|6,989  (+1)|9,835  (+4)
@OrlandoMagic|Orlando Magic|February 29, 2020|1,505,140  (+168)|1,149  (0)|43,686  (+34)|6,988  (-5)|9,831  (0)
@OrlandoMagic|Orlando Magic|February 28, 2020|1,504,972  (+136)|1,149  (0)|43,652  (+10)|6,993  (+1)|9,831  (0)
@OrlandoMagic|Orlando Magic|February 27, 2020|1,504,836  (+114)|1,149  (0)|43,642  (+27)|6,992  (-3)|9,831  (0)
@OrlandoMagic|Orlando Magic|February 26, 2020|1,504,722  (+127)|1,149  (-1)|43,615  (+11)|6,995  (-2)|9,831  (+1)
@OrlandoMagic|Orlando Magic|February 25, 2020|1,504,595  (+165)|1,150  (+1)|43,604  (+23)|6,997  (-1)|9,830  (-1)
@OrlandoMagic|Orlando Magic|February 24, 2020|1,504,430  (+169)|1,149  (0)|43,581  (+12)|6,998  (+2)|9,831  (0)
@OrlandoMagic|Orlando Magic|February 23, 2020|1,504,261  (+146)|1,149  (0)|43,569  (+8)|6,996  (+1)|9,831  (0)
@OrlandoMagic|Orlando Magic|February 22, 2020|1,504,115  (+150)|1,149  (+1)|43,561  (+24)|6,995  (-1)|9,831  (0)
@OrlandoMagic|Orlando Magic|February 21, 2020|1,503,965  (+93)|1,148  (+1)|43,537  (+18)|6,996  (+2)|9,831  (+1)
@OrlandoMagic|Orlando Magic|February 20, 2020|1,503,872  (+61)|1,147  (0)|43,519  (+11)|6,994  (+3)|9,830  (-1)
@OrlandoMagic|Orlando Magic|February 19, 2020|1,503,811  (+21)|1,147  (-2)|43,508  (+5)|6,991  (0)|9,831  (-2)
@OrlandoMagic|Orlando Magic|February 18, 2020|1,503,790  (+87)|1,149  (-2)|43,503  (+3)|6,991  (+6)|9,833  (0)
@OrlandoMagic|Orlando Magic|February 17, 2020|1,503,703  (+222)|1,151  (0)|43,500  (0)|6,985  (+4)|9,833  (-1)
@OrlandoMagic|Orlando Magic|February 16, 2020|1,503,481  (+326)|1,151  (0)|43,500  (+24)|6,981  (+1)|9,834  (+6)
@OrlandoMagic|Orlando Magic|February 15, 2020|1,503,155  (+99)|1,151  (0)|43,476  (+9)|6,980  (0)|9,828  (+1)
@OrlandoMagic|Orlando Magic|February 14, 2020|1,503,056  (+55)|1,151  (0)|43,467  (+8)|6,980  (+2)|9,827  (0)
@OrlandoMagic|Orlando Magic|February 13, 2020|1,503,001  (+156)|1,151  (+1)|43,459  (+36)|6,978  (+3)|9,827  (+1)
@OrlandoMagic|Orlando Magic|February 12, 2020|1,502,845  (+148)|1,150  (-1)|43,423  (+9)|6,975  (+1)|9,826  (-1)
@OrlandoMagic|Orlando Magic|February 11, 2020|1,502,697  (+204)|1,151  (0)|43,414  (+29)|6,974  (+2)|9,827  (0)
@OrlandoMagic|Orlando Magic|February 10, 2020|1,502,493  (+227)|1,151  (0)|43,385  (+10)|6,972  (+4)|9,827  (-1)
@OrlandoMagic|Orlando Magic|February 9, 2020|1,502,266  (+232)|1,151  (-2)|43,375  (+18)|6,968  (+1)|9,828  (+2)
@OrlandoMagic|Orlando Magic|February 8, 2020|1,502,034  (+291)|1,153  (0)|43,357  (+11)|6,967  (-4)|9,826  (0)
@OrlandoMagic|Orlando Magic|February 7, 2020|1,501,743  (+262)|1,153  (-1)|43,346  (+21)|6,971  (-1)|9,826  (-1)
@OrlandoMagic|Orlando Magic|February 6, 2020|1,501,481  (+345)|1,154  (-2)|43,325  (+24)|6,972  (+4)|9,827  (+1)
@OrlandoMagic|Orlando Magic|February 5, 2020|1,501,136  (+242)|1,156  (-1)|43,301  (+11)|6,968  (+8)|9,826  (+7)
@OrlandoMagic|Orlando Magic|February 4, 2020|1,500,894  (+123)|1,157  (+1)|43,290  (+27)|6,960  (+2)|9,819  (+1)
@OrlandoMagic|Orlando Magic|February 3, 2020|1,500,771  (+196)|1,156  (+1)|43,263  (+9)|6,958  (+6)|9,818  (-1)
@OrlandoMagic|Orlando Magic|February 2, 2020|1,500,575  (+239)|1,155  (-1)|43,254  (+22)|6,952  (0)|9,819  (+4)
@OrlandoMagic|Orlando Magic|February 1, 2020|1,500,336  (+376)|1,156  (+1)|43,232  (+9)|6,952  (-2)|9,815  (0)
@OrlandoMagic|Orlando Magic|January 31, 2020|1,499,960  (+255)|1,155  (0)|43,223  (+7)|6,954  (+3)|9,815  (+1)
@OrlandoMagic|Orlando Magic|January 30, 2020|1,499,705  (+395)|1,155  (0)|43,216  (+6)|6,951  (-1)|9,814  (-1)
@OrlandoMagic|Orlando Magic|January 29, 2020|1,499,310  (+421)|1,155  (0)|43,210  (+4)|6,952  (+5)|9,815  (+1)
@OrlandoMagic|Orlando Magic|January 28, 2020|1,498,889  (+639)|1,155  (-1)|43,206  (+19)|6,947  (-2)|9,814  (0)
@OrlandoMagic|Orlando Magic|January 27, 2020|1,498,250  (+1,560)|1,156  (0)|43,187  (+10)|6,949  (0)|9,814  (0)
@OrlandoMagic|Orlando Magic|January 26, 2020|1,496,690  (+568)|1,156  (+1)|43,177  (+5)|6,949  (+3)|9,814  (0)
@OrlandoMagic|Orlando Magic|January 25, 2020|1,496,122  (+184)|1,155  (0)|43,172  (+26)|6,946  (-2)|9,814  (0)
@OrlandoMagic|Orlando Magic|January 24, 2020|1,495,938  (+133)|1,155  (0)|43,146  (+13)|6,948  (0)|9,814  (+2)
@OrlandoMagic|Orlando Magic|January 23, 2020|1,495,805  (+223)|1,155  (-2)|43,133  (+32)|6,948  (-1)|9,812  (+2)
@OrlandoMagic|Orlando Magic|January 22, 2020|1,495,582  (+102)|1,157  (0)|43,101  (+8)|6,949  (-1)|9,810  (0)
@OrlandoMagic|Orlando Magic|January 21, 2020|1,495,480  (+109)|1,157  (-1)|43,093  (+22)|6,950  (+1)|9,810  (0)
@OrlandoMagic|Orlando Magic|January 20, 2020|1,495,371  (+78)|1,158  (0)|43,071  (+10)|6,949  (+2)|9,810  (0)
@OrlandoMagic|Orlando Magic|January 19, 2020|1,495,293  (+111)|1,158  (0)|43,061  (+28)|6,947  (+3)|9,810  (0)
@OrlandoMagic|Orlando Magic|January 18, 2020|1,495,182  (+81)|1,158  (+33)|43,033  (+4)|6,944  (+2)|9,810  (-2)
@OrlandoMagic|Orlando Magic|January 17, 2020|1,495,101  (+175)|1,125  (+244)|43,029  (+24)|6,942  (0)|9,812  (-4)
@OrlandoMagic|Orlando Magic|January 16, 2020|1,494,926  (+249)|881  (+1)|43,005  (+37)|6,942  (+1)|9,816  (+10)
@OrlandoMagic|Orlando Magic|January 15, 2020|1,494,677  (+70)|880  (0)|42,968  (+12)|6,941  (-1)|9,806  (+3)
@OrlandoMagic|Orlando Magic|January 14, 2020|1,494,607  (+87)|880  (+2)|42,956  (+39)|6,942  (-2)|9,803  (+3)
@OrlandoMagic|Orlando Magic|January 13, 2020|1,494,520  (+139)|878  (0)|42,917  (+13)|6,944  (-3)|9,800  (+3)
@OrlandoMagic|Orlando Magic|January 12, 2020|1,494,381  (+25)|878  (-1)|42,904  (+8)|6,947  (0)|9,797  (0)
@OrlandoMagic|Orlando Magic|January 11, 2020|1,494,356  (+69)|879  (0)|42,896  (+24)|6,947  (+3)|9,797  (+3)
@OrlandoMagic|Orlando Magic|January 10, 2020|1,494,287  (+75)|879  (+2)|42,872  (+13)|6,944  (+1)|9,794  (+5)
@OrlandoMagic|Orlando Magic|January 9, 2020|1,494,212  (+72)|877  (-1)|42,859  (+29)|6,943  (-2)|9,789  (+4)
@OrlandoMagic|Orlando Magic|January 8, 2020|1,494,140  (+57)|878  (0)|42,830  (+17)|6,945  (+1)|9,785  (+2)
@OrlandoMagic|Orlando Magic|January 7, 2020|1,494,083  (+91)|878  (0)|42,813  (+33)|6,944  (-2)|9,783  (+6)
@OrlandoMagic|Orlando Magic|January 6, 2020|1,493,992  (+79)|878  (0)|42,780  (+10)|6,946  (+2)|9,777  (-1)
@OrlandoMagic|Orlando Magic|January 5, 2020|1,493,913  (+166)|878  (+1)|42,770  (+28)|6,944  (-2)|9,778  (+4)
@OrlandoMagic|Orlando Magic|January 4, 2020|1,493,747  (+91)|877  (0)|42,742  (+44)|6,946  (+1)|9,774  (+25)
