account|team|date|followers|following|tweets|lists|favourites
@Sixers|Philadelphia 76ers|April 5, 2020|1,894,512  (+147)|396  (0)|59,377  (+6)|7,189  (-1)|8,378  (+6)
@Sixers|Philadelphia 76ers|April 4, 2020|1,894,365  (+180)|396  (0)|59,371  (+7)|7,190  (-5)|8,372  (+18)
@Sixers|Philadelphia 76ers|April 3, 2020|1,894,185  (+163)|396  (0)|59,364  (+9)|7,195  (-2)|8,354  (+9)
@Sixers|Philadelphia 76ers|April 2, 2020|1,894,022  (+275)|396  (0)|59,355  (+1)|7,197  (-4)|8,345  (+5)
@Sixers|Philadelphia 76ers|April 1, 2020|1,893,747  (+204)|396  (0)|59,354  (+14)|7,201  (-3)|8,340  (+4)
@Sixers|Philadelphia 76ers|March 31, 2020|1,893,543  (+67)|396  (0)|59,340  (+11)|7,204  (0)|8,336  (+18)
@Sixers|Philadelphia 76ers|March 30, 2020|1,893,476  (+168)|396  (0)|59,329  (+2)|7,204  (+6)|8,318  (+2)
@Sixers|Philadelphia 76ers|March 29, 2020|1,893,308  (+270)|396  (0)|59,327  (+6)|7,198  (-6)|8,316  (+9)
@Sixers|Philadelphia 76ers|March 28, 2020|1,893,038  (-368)|396  (0)|59,321  (+11)|7,204  (+2)|8,307  (+12)
@Sixers|Philadelphia 76ers|March 27, 2020|1,893,406  (-41)|396  (0)|59,310  (+3)|7,202  (0)|8,295  (+8)
@Sixers|Philadelphia 76ers|March 26, 2020|1,893,447  (+400)|396  (+2)|59,307  (+14)|7,202  (-2)|8,287  (+4)
@Sixers|Philadelphia 76ers|March 25, 2020|1,893,047  (+388)|394  (0)|59,293  (+3)|7,204  (+7)|8,283  (+3)
@Sixers|Philadelphia 76ers|March 24, 2020|1,892,659  (+308)|394  (0)|59,290  (+2)|7,197  (+9)|8,280  (+4)
@Sixers|Philadelphia 76ers|March 23, 2020|1,892,351  (+249)|394  (+1)|59,288  (+1)|7,188  (-1)|8,276  (+1)
@Sixers|Philadelphia 76ers|March 22, 2020|1,892,102  (+248)|393  (0)|59,287  (+4)|7,189  (+1)|8,275  (+8)
@Sixers|Philadelphia 76ers|March 21, 2020|1,891,854  (+237)|393  (0)|59,283  (+1)|7,188  (+5)|8,267  (+3)
@Sixers|Philadelphia 76ers|March 20, 2020|1,891,617  (+141)|393  (0)|59,282  (+4)|7,183  (-2)|8,264  (+2)
@Sixers|Philadelphia 76ers|March 19, 2020|1,891,476  (+43)|393  (+1)|59,278  (+1)|7,185  (+3)|8,262  (+2)
@Sixers|Philadelphia 76ers|March 18, 2020|1,891,433  (+205)|392  (0)|59,277  (0)|7,182  (-3)|8,260  (+8)
@Sixers|Philadelphia 76ers|March 17, 2020|1,891,228  (+355)|392  (0)|59,277  (+1)|7,185  (+5)|8,252  (+4)
@Sixers|Philadelphia 76ers|March 16, 2020|1,890,873  (+474)|392  (0)|59,276  (0)|7,180  (-7)|8,248  (+1)
@Sixers|Philadelphia 76ers|March 15, 2020|1,890,399  (+481)|392  (-1)|59,276  (+2)|7,187  (+3)|8,247  (0)
@Sixers|Philadelphia 76ers|March 14, 2020|1,889,918  (+584)|393  (0)|59,274  (0)|7,184  (-1)|8,247  (+1)
@Sixers|Philadelphia 76ers|March 13, 2020|1,889,334  (+868)|393  (0)|59,274  (0)|7,185  (+3)|8,246  (0)
@Sixers|Philadelphia 76ers|March 12, 2020|1,888,466  (+654)|393  (0)|59,274  (+36)|7,182  (+2)|8,246  (+10)
@Sixers|Philadelphia 76ers|March 11, 2020|1,887,812  (+451)|393  (0)|59,238  (+3)|7,180  (-2)|8,236  (+3)
