account|team|date|followers|following|tweets|lists|favourites
@Suns|Phoenix Suns|April 5, 2020|1,119,738  (+60)|912  (0)|76,367  (+5)|6,526  (+1)|6,197  (+2)
@Suns|Phoenix Suns|April 4, 2020|1,119,678  (-5)|912  (0)|76,362  (+10)|6,525  (0)|6,195  (+2)
@Suns|Phoenix Suns|April 3, 2020|1,119,683  (+106)|912  (0)|76,352  (+14)|6,525  (+1)|6,193  (+2)
@Suns|Phoenix Suns|April 2, 2020|1,119,577  (-10)|912  (0)|76,338  (+20)|6,524  (-5)|6,191  (+8)
@Suns|Phoenix Suns|April 1, 2020|1,119,587  (-11)|912  (0)|76,318  (+7)|6,529  (-3)|6,183  (+1)
@Suns|Phoenix Suns|March 31, 2020|1,119,598  (+11)|912  (0)|76,311  (+14)|6,532  (-2)|6,182  (+6)
@Suns|Phoenix Suns|March 30, 2020|1,119,587  (-78)|912  (0)|76,297  (+4)|6,534  (+4)|6,176  (0)
@Suns|Phoenix Suns|March 29, 2020|1,119,665  (+17)|912  (0)|76,293  (+7)|6,530  (0)|6,176  (0)
@Suns|Phoenix Suns|March 28, 2020|1,119,648  (-62)|912  (0)|76,286  (+15)|6,530  (-2)|6,176  (+4)
@Suns|Phoenix Suns|March 27, 2020|1,119,710  (-374)|912  (0)|76,271  (+5)|6,532  (+1)|6,172  (0)
@Suns|Phoenix Suns|March 26, 2020|1,120,084  (-19)|912  (0)|76,266  (+15)|6,531  (-3)|6,172  (+2)
@Suns|Phoenix Suns|March 25, 2020|1,120,103  (+53)|912  (0)|76,251  (+10)|6,534  (-1)|6,170  (+4)
@Suns|Phoenix Suns|March 24, 2020|1,120,050  (+7)|912  (0)|76,241  (+56)|6,535  (+7)|6,166  (+4)
@Suns|Phoenix Suns|March 23, 2020|1,120,043  (+51)|912  (0)|76,185  (+18)|6,528  (+9)|6,162  (0)
@Suns|Phoenix Suns|March 22, 2020|1,119,992  (+14)|912  (0)|76,167  (+13)|6,519  (+2)|6,162  (+3)
@Suns|Phoenix Suns|March 21, 2020|1,119,978  (0)|912  (+1)|76,154  (+12)|6,517  (+2)|6,159  (+1)
@Suns|Phoenix Suns|March 20, 2020|1,119,978  (+24)|911  (0)|76,142  (+3)|6,515  (+2)|6,158  (+2)
@Suns|Phoenix Suns|March 19, 2020|1,119,954  (+13)|911  (+1)|76,139  (+21)|6,513  (+4)|6,156  (+8)
@Suns|Phoenix Suns|March 18, 2020|1,119,941  (-69)|910  (0)|76,118  (+4)|6,509  (+2)|6,148  (0)
@Suns|Phoenix Suns|March 17, 2020|1,120,010  (+30)|910  (0)|76,114  (0)|6,507  (-5)|6,148  (+1)
@Suns|Phoenix Suns|March 16, 2020|1,119,980  (+82)|910  (0)|76,114  (0)|6,512  (+1)|6,147  (+1)
@Suns|Phoenix Suns|March 15, 2020|1,119,898  (+165)|910  (0)|76,114  (0)|6,511  (+2)|6,146  (-1)
@Suns|Phoenix Suns|March 14, 2020|1,119,733  (+571)|910  (+1)|76,114  (+19)|6,509  (+2)|6,147  (+9)
@Suns|Phoenix Suns|March 13, 2020|1,119,162  (+595)|909  (0)|76,095  (+4)|6,507  (0)|6,138  (+5)
@Suns|Phoenix Suns|March 12, 2020|1,118,567  (+347)|909  (0)|76,091  (+4)|6,507  (+1)|6,133  (0)
@Suns|Phoenix Suns|March 11, 2020|1,118,220  (+102)|909  (0)|76,087  (+23)|6,506  (+1)|6,133  (+5)
@Suns|Phoenix Suns|March 10, 2020|1,118,118  (+180)|909  (0)|76,064  (+7)|6,505  (-3)|6,128  (+1)
@Suns|Phoenix Suns|March 9, 2020|1,117,938  (+197)|909  (0)|76,057  (+34)|6,508  (0)|6,127  (+3)
@Suns|Phoenix Suns|March 8, 2020|1,117,741  (+107)|909  (0)|76,023  (+10)|6,508  (0)|6,124  (+1)
@Suns|Phoenix Suns|March 7, 2020|1,117,634  (+169)|909  (0)|76,013  (+41)|6,508  (+2)|6,123  (+6)
@Suns|Phoenix Suns|March 6, 2020|1,117,465  (+129)|909  (0)|75,972  (+11)|6,506  (0)|6,117  (+2)
@Suns|Phoenix Suns|March 5, 2020|1,117,336  (+75)|909  (0)|75,961  (+7)|6,506  (-1)|6,115  (+8)
@Suns|Phoenix Suns|March 4, 2020|1,117,261  (+229)|909  (0)|75,954  (+24)|6,507  (0)|6,107  (+11)
@Suns|Phoenix Suns|March 3, 2020|1,117,032  (+239)|909  (0)|75,930  (+8)|6,507  (-1)|6,096  (+1)
@Suns|Phoenix Suns|March 2, 2020|1,116,793  (+243)|909  (0)|75,922  (+2)|6,508  (+6)|6,095  (0)
@Suns|Phoenix Suns|March 1, 2020|1,116,550  (+310)|909  (0)|75,920  (+20)|6,502  (+1)|6,095  (0)
@Suns|Phoenix Suns|February 29, 2020|1,116,240  (+295)|909  (0)|75,900  (+27)|6,501  (-4)|6,095  (+1)
@Suns|Phoenix Suns|February 28, 2020|1,115,945  (+296)|909  (0)|75,873  (+10)|6,505  (+3)|6,094  (0)
@Suns|Phoenix Suns|February 27, 2020|1,115,649  (+349)|909  (0)|75,863  (+28)|6,502  (-2)|6,094  (+1)
@Suns|Phoenix Suns|February 26, 2020|1,115,300  (+432)|909  (0)|75,835  (+7)|6,504  (-1)|6,093  (0)
@Suns|Phoenix Suns|February 25, 2020|1,114,868  (+379)|909  (-1)|75,828  (+32)|6,505  (-1)|6,093  (+1)
@Suns|Phoenix Suns|February 24, 2020|1,114,489  (+480)|910  (0)|75,796  (+3)|6,506  (+2)|6,092  (-1)
@Suns|Phoenix Suns|February 23, 2020|1,114,009  (+466)|910  (0)|75,793  (+29)|6,504  (-1)|6,093  (+1)
@Suns|Phoenix Suns|February 22, 2020|1,113,543  (+340)|910  (0)|75,764  (+20)|6,505  (+1)|6,092  (+1)
@Suns|Phoenix Suns|February 21, 2020|1,113,203  (+329)|910  (0)|75,744  (+5)|6,504  (+4)|6,091  (0)
@Suns|Phoenix Suns|February 20, 2020|1,112,874  (+287)|910  (0)|75,739  (+9)|6,500  (0)|6,091  (0)
@Suns|Phoenix Suns|February 19, 2020|1,112,587  (+425)|910  (0)|75,730  (+6)|6,500  (-2)|6,091  (-1)
@Suns|Phoenix Suns|February 18, 2020|1,112,162  (+418)|910  (0)|75,724  (+2)|6,502  (+5)|6,092  (0)
@Suns|Phoenix Suns|February 17, 2020|1,111,744  (+554)|910  (0)|75,722  (+26)|6,497  (+5)|6,092  (+1)
@Suns|Phoenix Suns|February 16, 2020|1,111,190  (+489)|910  (0)|75,696  (+23)|6,492  (+2)|6,091  (+3)
@Suns|Phoenix Suns|February 15, 2020|1,110,701  (+411)|910  (0)|75,673  (+27)|6,490  (0)|6,088  (+4)
@Suns|Phoenix Suns|February 14, 2020|1,110,290  (+443)|910  (0)|75,646  (+11)|6,490  (+2)|6,084  (+3)
@Suns|Phoenix Suns|February 13, 2020|1,109,847  (+509)|910  (+1)|75,635  (+47)|6,488  (+3)|6,081  (+3)
@Suns|Phoenix Suns|February 12, 2020|1,109,338  (+391)|909  (0)|75,588  (+9)|6,485  (+1)|6,078  (0)
@Suns|Phoenix Suns|February 11, 2020|1,108,947  (+460)|909  (0)|75,579  (+18)|6,484  (+1)|6,078  (+1)
@Suns|Phoenix Suns|February 10, 2020|1,108,487  (+352)|909  (0)|75,561  (+9)|6,483  (+1)|6,077  (0)
@Suns|Phoenix Suns|February 9, 2020|1,108,135  (+375)|909  (0)|75,552  (+26)|6,482  (+1)|6,077  (+1)
@Suns|Phoenix Suns|February 8, 2020|1,107,760  (+556)|909  (0)|75,526  (+47)|6,481  (+4)|6,076  (0)
@Suns|Phoenix Suns|February 7, 2020|1,107,204  (+443)|909  (0)|75,479  (+10)|6,477  (+1)|6,076  (+1)
@Suns|Phoenix Suns|February 6, 2020|1,106,761  (+489)|909  (+1)|75,469  (+34)|6,476  (+3)|6,075  (+2)
@Suns|Phoenix Suns|February 5, 2020|1,106,272  (+359)|908  (0)|75,435  (+10)|6,473  (+6)|6,073  (+1)
@Suns|Phoenix Suns|February 4, 2020|1,105,913  (+398)|908  (-1)|75,425  (+26)|6,467  (+1)|6,072  (-1)
@Suns|Phoenix Suns|February 3, 2020|1,105,515  (+374)|909  (0)|75,399  (+4)|6,466  (+6)|6,073  (+1)
@Suns|Phoenix Suns|February 2, 2020|1,105,141  (+558)|909  (0)|75,395  (+21)|6,460  (+1)|6,072  (+1)
@Suns|Phoenix Suns|February 1, 2020|1,104,583  (+505)|909  (0)|75,374  (+28)|6,459  (+1)|6,071  (+2)
@Suns|Phoenix Suns|January 31, 2020|1,104,078  (+476)|909  (0)|75,346  (+8)|6,458  (+6)|6,069  (+1)
@Suns|Phoenix Suns|January 30, 2020|1,103,602  (+601)|909  (0)|75,338  (+10)|6,452  (+3)|6,068  (0)
@Suns|Phoenix Suns|January 29, 2020|1,103,001  (+788)|909  (-2)|75,328  (+35)|6,449  (0)|6,068  (+2)
@Suns|Phoenix Suns|January 28, 2020|1,102,213  (+1,014)|911  (0)|75,293  (+4)|6,449  (+1)|6,066  (+1)
@Suns|Phoenix Suns|January 27, 2020|1,101,199  (+2,568)|911  (0)|75,289  (+6)|6,448  (-6)|6,065  (+3)
@Suns|Phoenix Suns|January 26, 2020|1,098,631  (+983)|911  (0)|75,283  (+11)|6,454  (+2)|6,062  (+1)
@Suns|Phoenix Suns|January 25, 2020|1,097,648  (+328)|911  (0)|75,272  (+42)|6,452  (-3)|6,061  (+1)
@Suns|Phoenix Suns|January 24, 2020|1,097,320  (+222)|911  (0)|75,230  (+10)|6,455  (+3)|6,060  (+1)
@Suns|Phoenix Suns|January 23, 2020|1,097,098  (+254)|911  (0)|75,220  (+18)|6,452  (0)|6,059  (0)
@Suns|Phoenix Suns|January 22, 2020|1,096,844  (+201)|911  (0)|75,202  (+11)|6,452  (-3)|6,059  (+1)
@Suns|Phoenix Suns|January 21, 2020|1,096,643  (+185)|911  (-1)|75,191  (+38)|6,455  (+3)|6,058  (+1)
@Suns|Phoenix Suns|January 20, 2020|1,096,458  (+102)|912  (0)|75,153  (+7)|6,452  (-1)|6,057  (0)
@Suns|Phoenix Suns|January 19, 2020|1,096,356  (+249)|912  (0)|75,146  (+50)|6,453  (+2)|6,057  (+5)
@Suns|Phoenix Suns|January 18, 2020|1,096,107  (+149)|912  (0)|75,096  (+11)|6,451  (+2)|6,052  (0)
@Suns|Phoenix Suns|January 17, 2020|1,095,958  (+216)|912  (0)|75,085  (+45)|6,449  (-2)|6,052  (0)
@Suns|Phoenix Suns|January 16, 2020|1,095,742  (+208)|912  (0)|75,040  (+15)|6,451  (+4)|6,052  (0)
@Suns|Phoenix Suns|January 15, 2020|1,095,534  (+188)|912  (0)|75,025  (+32)|6,447  (0)|6,052  (+1)
@Suns|Phoenix Suns|January 14, 2020|1,095,346  (+212)|912  (0)|74,993  (+19)|6,447  (-1)|6,051  (+1)
@Suns|Phoenix Suns|January 13, 2020|1,095,134  (+291)|912  (0)|74,974  (+49)|6,448  (-4)|6,050  (+5)
@Suns|Phoenix Suns|January 12, 2020|1,094,843  (+220)|912  (0)|74,925  (+25)|6,452  (-1)|6,045  (-1)
@Suns|Phoenix Suns|January 11, 2020|1,094,623  (+282)|912  (0)|74,900  (+33)|6,453  (+4)|6,046  (+25)
@Suns|Phoenix Suns|January 10, 2020|1,094,341  (+251)|912  (0)|74,867  (+6)|6,449  (-1)|6,021  (-1)
@Suns|Phoenix Suns|January 9, 2020|1,094,090  (+243)|912  (0)|74,861  (+7)|6,450  (+1)|6,022  (+1)
@Suns|Phoenix Suns|January 8, 2020|1,093,847  (+167)|912  (0)|74,854  (+26)|6,449  (0)|6,021  (-1)
@Suns|Phoenix Suns|January 7, 2020|1,093,680  (+194)|912  (0)|74,828  (+6)|6,449  (+4)|6,022  (+1)
@Suns|Phoenix Suns|January 6, 2020|1,093,486  (+197)|912  (0)|74,822  (+24)|6,445  (+2)|6,021  (+2)
@Suns|Phoenix Suns|January 5, 2020|1,093,289  (+237)|912  (0)|74,798  (+2)|6,443  (-1)|6,019  (0)
@Suns|Phoenix Suns|January 4, 2020|1,093,052  (+201)|912  (+1)|74,796  (+58)|6,444  (-6)|6,019  (0)
@Suns|Phoenix Suns|January 3, 2020|1,092,851  (+211)|911  (0)|74,738  (-119)|6,450  (0)|6,019  (0)
@Suns|Phoenix Suns|January 2, 2020|1,092,640  (+235)|911  (0)|74,857  (+30)|6,450  (-3)|6,019  (+3)
@Suns|Phoenix Suns|January 1, 2020|1,092,405  (+111)|911  (0)|74,827  (+9)|6,453  (+3)|6,016  (0)
@Suns|Phoenix Suns|December 31, 2019|1,092,294  (+256)|911  (+1)|74,818  (+64)|6,450  (-1)|6,016  (+1)
@Suns|Phoenix Suns|December 30, 2019|1,092,038  (+109)|910  (0)|74,754  (+13)|6,451  (+3)|6,015  (+2)
@Suns|Phoenix Suns|December 29, 2019|1,091,929  (+39)|910  (-1)|74,741  (+59)|6,448  (+2)|6,013  (0)
@Suns|Phoenix Suns|December 28, 2019|1,091,890  (+95)|911  (0)|74,682  (+7)|6,446  (+3)|6,013  (0)
@Suns|Phoenix Suns|December 27, 2019|1,091,795  (+130)|911  (0)|74,675  (+6)|6,443  (+1)|6,013  (0)
@Suns|Phoenix Suns|December 26, 2019|1,091,665  (+9)|911  (0)|74,669  (+31)|6,442  (-2)|6,013  (+25)
@Suns|Phoenix Suns|December 25, 2019|1,091,656  (+271)|911  (0)|74,638  (+5)|6,444  (-1)|5,988  (+3)
@Suns|Phoenix Suns|December 24, 2019|1,091,385  (+264)|911  (0)|74,633  (+43)|6,445  (0)|5,985  (+1)
@Suns|Phoenix Suns|December 23, 2019|1,091,121  (+159)|911  (0)|74,590  (+13)|6,445  (+4)|5,984  (+1)
@Suns|Phoenix Suns|December 22, 2019|1,090,962  (+98)|911  (0)|74,577  (+22)|6,441  (+6,441)|5,983  (+7)
@Suns|Phoenix Suns|December 21, 2019|1,090,864  (+89)|911  (0)|74,555  (+21)|0  (-6,437)|5,976  (+3)
@Suns|Phoenix Suns|December 20, 2019|1,090,775  (+158)|911  (0)|74,534  (+6)|6,437  (+3)|5,973  (+1)
@Suns|Phoenix Suns|December 19, 2019|1,090,617  (+93)|911  (0)|74,528  (+8)|6,434  (0)|5,972  (0)
@Suns|Phoenix Suns|December 18, 2019|1,090,524  (+155)|911  (0)|74,520  (+45)|6,434  (+1)|5,972  (+2)
@Suns|Phoenix Suns|December 17, 2019|1,090,369  (+130)|911  (0)|74,475  (+47)|6,433  (-1)|5,970  (-1)
@Suns|Phoenix Suns|December 16, 2019|1,090,239  (+136)|911  (0)|74,428  (+4)|6,434  (+1)|5,971  (+8)
@Suns|Phoenix Suns|December 15, 2019|1,090,103  (+144)|911  (0)|74,424  (+41)|6,433  (-4)|5,963  (+4)
@Suns|Phoenix Suns|December 14, 2019|1,089,959  (+173)|911  (0)|74,383  (+22)|6,437  (+1)|5,959  (+14)
@Suns|Phoenix Suns|December 13, 2019|1,089,786  (+131)|911  (-1)|74,361  (+6)|6,436  (-3)|5,945  (+1)
@Suns|Phoenix Suns|December 12, 2019|1,089,655  (+187)|912  (0)|74,355  (+36)|6,439  (+1)|5,944  (+1)
@Suns|Phoenix Suns|December 11, 2019|1,089,468  (+206)|912  (+1)|74,319  (+28)|6,438  (+1)|5,943  (+8)
@Suns|Phoenix Suns|December 10, 2019|1,089,262  (+246)|911  (0)|74,291  (+48)|6,437  (-1)|5,935  (+13)
@Suns|Phoenix Suns|December 9, 2019|1,089,016  (+532)|911  (0)|74,243  (+17)|6,438  (+1)|5,922  (+1)
@Suns|Phoenix Suns|December 8, 2019|1,088,484  (+200)|911  (0)|74,226  (+37)|6,437  (-4)|5,921  (0)
@Suns|Phoenix Suns|December 7, 2019|1,088,284  (+104)|911  (0)|74,189  (+8)|6,441  (+4)|5,921  (0)
@Suns|Phoenix Suns|December 6, 2019|1,088,180  (+212)|911  (0)|74,181  (+73)|6,437  (+1)|5,921  (+2)
@Suns|Phoenix Suns|December 5, 2019|1,087,968  (+123)|911  (0)|74,108  (+35)|6,436  (-3)|5,919  (-1)
