account|team|date|followers|following|tweets|lists|favourites
@trailblazers|Portland Trail Blazers|April 5, 2020|1,296,656  (+54)|7,412  (-3)|85,033  (+6)|6,690  (+2)|15,865  (+1)
@trailblazers|Portland Trail Blazers|April 4, 2020|1,296,602  (+6)|7,415  (+1)|85,027  (+17)|6,688  (+1)|15,864  (+15)
@trailblazers|Portland Trail Blazers|April 3, 2020|1,296,596  (+100)|7,414  (+4)|85,010  (+23)|6,687  (+1)|15,849  (+9)
@trailblazers|Portland Trail Blazers|April 2, 2020|1,296,496  (+18)|7,410  (+3)|84,987  (+30)|6,686  (-7)|15,840  (+21)
@trailblazers|Portland Trail Blazers|April 1, 2020|1,296,478  (+69)|7,407  (-1)|84,957  (+12)|6,693  (+1)|15,819  (+6)
@trailblazers|Portland Trail Blazers|March 31, 2020|1,296,409  (-64)|7,408  (+1)|84,945  (+69)|6,692  (-9)|15,813  (+40)
@trailblazers|Portland Trail Blazers|March 30, 2020|1,296,473  (-112)|7,407  (+2)|84,876  (+29)|6,701  (-2)|15,773  (+56)
@trailblazers|Portland Trail Blazers|March 29, 2020|1,296,585  (+70)|7,405  (+4)|84,847  (+13)|6,703  (0)|15,717  (+6)
@trailblazers|Portland Trail Blazers|March 28, 2020|1,296,515  (-99)|7,401  (0)|84,834  (+25)|6,703  (-4)|15,711  (+23)
@trailblazers|Portland Trail Blazers|March 27, 2020|1,296,614  (-214)|7,401  (-5)|84,809  (+11)|6,707  (0)|15,688  (+7)
@trailblazers|Portland Trail Blazers|March 26, 2020|1,296,828  (+35)|7,406  (+1)|84,798  (+14)|6,707  (-1)|15,681  (+25)
@trailblazers|Portland Trail Blazers|March 25, 2020|1,296,793  (-21)|7,405  (+3)|84,784  (+61)|6,708  (0)|15,656  (+64)
@trailblazers|Portland Trail Blazers|March 24, 2020|1,296,814  (+49)|7,402  (+2)|84,723  (+14)|6,708  (+5)|15,592  (+22)
@trailblazers|Portland Trail Blazers|March 23, 2020|1,296,765  (+141)|7,400  (+6)|84,709  (+24)|6,703  (+8)|15,570  (+17)
@trailblazers|Portland Trail Blazers|March 22, 2020|1,296,624  (+25)|7,394  (0)|84,685  (+6)|6,695  (+1)|15,553  (+4)
@trailblazers|Portland Trail Blazers|March 21, 2020|1,296,599  (+26)|7,394  (+5)|84,679  (+7)|6,694  (-1)|15,549  (+8)
@trailblazers|Portland Trail Blazers|March 20, 2020|1,296,573  (+67)|7,389  (+21)|84,672  (+10)|6,695  (-3)|15,541  (+21)
@trailblazers|Portland Trail Blazers|March 19, 2020|1,296,506  (-99)|7,368  (+1)|84,662  (+6)|6,698  (0)|15,520  (+10)
@trailblazers|Portland Trail Blazers|March 18, 2020|1,296,605  (-1)|7,367  (+2)|84,656  (+13)|6,698  (+3)|15,510  (+32)
