account|team|date|followers|following|tweets|lists|favourites
@SacramentoKings|Sacramento Kings|April 5, 2020|1,080,729  (-38)|19,903  (-5)|70,470  (+6)|5,750  (-2)|11,057  (+1)
@SacramentoKings|Sacramento Kings|April 4, 2020|1,080,767  (-58)|19,908  (-5)|70,464  (+11)|5,752  (-2)|11,056  (+4)
@SacramentoKings|Sacramento Kings|April 3, 2020|1,080,825  (+93)|19,913  (+45)|70,453  (+19)|5,754  (0)|11,052  (+1)
@SacramentoKings|Sacramento Kings|April 2, 2020|1,080,732  (-59)|19,868  (-3)|70,434  (+10)|5,754  (-4)|11,051  (+4)
@SacramentoKings|Sacramento Kings|April 1, 2020|1,080,791  (-73)|19,871  (0)|70,424  (+18)|5,758  (-2)|11,047  (+6)
@SacramentoKings|Sacramento Kings|March 31, 2020|1,080,864  (-81)|19,871  (+1)|70,406  (+11)|5,760  (0)|11,041  (+6)
@SacramentoKings|Sacramento Kings|March 30, 2020|1,080,945  (-105)|19,870  (0)|70,395  (+4)|5,760  (0)|11,035  (+1)
@SacramentoKings|Sacramento Kings|March 29, 2020|1,081,050  (-64)|19,870  (+1)|70,391  (+1)|5,760  (-1)|11,034  (-1)
@SacramentoKings|Sacramento Kings|March 28, 2020|1,081,114  (-93)|19,869  (-2)|70,390  (+4)|5,761  (-3)|11,035  (-1)
@SacramentoKings|Sacramento Kings|March 27, 2020|1,081,207  (-235)|19,871  (-3)|70,386  (+2)|5,764  (-3)|11,036  (0)
@SacramentoKings|Sacramento Kings|March 26, 2020|1,081,442  (-35)|19,874  (-5)|70,384  (+3)|5,767  (+1)|11,036  (+3)
@SacramentoKings|Sacramento Kings|March 25, 2020|1,081,477  (-45)|19,879  (-1)|70,381  (+4)|5,766  (-2)|11,033  (+5)
@SacramentoKings|Sacramento Kings|March 24, 2020|1,081,522  (-79)|19,880  (+3)|70,377  (+6)|5,768  (+9)|11,028  (0)
@SacramentoKings|Sacramento Kings|March 23, 2020|1,081,601  (-6)|19,877  (+1)|70,371  (+2)|5,759  (+5)|11,028  (-1)
@SacramentoKings|Sacramento Kings|March 22, 2020|1,081,607  (-81)|19,876  (-5)|70,369  (+2)|5,754  (+4)|11,029  (+1)
