account|team|date|followers|following|tweets|lists|favourites
@spurs|San Antonio Spurs|April 5, 2020|3,487,505  (-37)|877  (+1)|45,758  (+22)|8,960  (-4)|5,397  (+2)
@spurs|San Antonio Spurs|April 4, 2020|3,487,542  (-135)|876  (0)|45,736  (+12)|8,964  (-6)|5,395  (+2)
@spurs|San Antonio Spurs|April 3, 2020|3,487,677  (-114)|876  (+1)|45,724  (+18)|8,970  (-5)|5,393  (+20)
@spurs|San Antonio Spurs|April 2, 2020|3,487,791  (-103)|875  (0)|45,706  (+59)|8,975  (+4)|5,373  (+3)
@spurs|San Antonio Spurs|April 1, 2020|3,487,894  (-65)|875  (-1)|45,647  (+10)|8,971  (+2)|5,370  (+2)
@spurs|San Antonio Spurs|March 31, 2020|3,487,959  (-326)|876  (0)|45,637  (+7)|8,969  (-4)|5,368  (0)
@spurs|San Antonio Spurs|March 30, 2020|3,488,285  (-53)|876  (0)|45,630  (+11)|8,973  (+2)|5,368  (+2)
@spurs|San Antonio Spurs|March 29, 2020|3,488,338  (+40)|876  (0)|45,619  (+3)|8,971  (-6)|5,366  (0)
@spurs|San Antonio Spurs|March 28, 2020|3,488,298  (-3,978)|876  (0)|45,616  (+7)|8,977  (+2)|5,366  (0)
@spurs|San Antonio Spurs|March 27, 2020|3,492,276  (-2,992)|876  (0)|45,609  (+22)|8,975  (+2)|5,366  (+2)
@spurs|San Antonio Spurs|March 26, 2020|3,495,268  (-36)|876  (0)|45,587  (+39)|8,973  (0)|5,364  (-3)
@spurs|San Antonio Spurs|March 25, 2020|3,495,304  (-114)|876  (0)|45,548  (+7)|8,973  (+3)|5,367  (+1)
@spurs|San Antonio Spurs|March 24, 2020|3,495,418  (-137)|876  (+1)|45,541  (+3)|8,970  (+5)|5,366  (+2)
@spurs|San Antonio Spurs|March 23, 2020|3,495,555  (-218)|875  (0)|45,538  (+12)|8,965  (+4)|5,364  (0)
@spurs|San Antonio Spurs|March 22, 2020|3,495,773  (-255)|875  (0)|45,526  (+4)|8,961  (+5)|5,364  (-1)
