account|team|date|followers|following|tweets|lists|favourites
@Timberwolves|Timberwolves|April 5, 2020|1,006,738  (+70)|516  (+2)|55,898  (+7)|5,742  (+1)|5,091  (0)
@Timberwolves|Timberwolves|April 4, 2020|1,006,668  (+33)|514  (+1)|55,891  (+25)|5,741  (0)|5,091  (+3)
@Timberwolves|Timberwolves|April 3, 2020|1,006,635  (+82)|513  (0)|55,866  (+4)|5,741  (0)|5,088  (+1)
@Timberwolves|Timberwolves|April 2, 2020|1,006,553  (-35)|513  (0)|55,862  (+31)|5,741  (-7)|5,087  (0)
@Timberwolves|Timberwolves|April 1, 2020|1,006,588  (-57)|513  (0)|55,831  (+40)|5,748  (-3)|5,087  (+2)
@Timberwolves|Timberwolves|March 31, 2020|1,006,645  (+42)|513  (0)|55,791  (+3)|5,751  (-1)|5,085  (0)
@Timberwolves|Timberwolves|March 30, 2020|1,006,603  (-3)|513  (0)|55,788  (+6)|5,752  (+1)|5,085  (+1)
@Timberwolves|Timberwolves|March 29, 2020|1,006,606  (+133)|513  (+1)|55,782  (+3)|5,751  (-1)|5,084  (0)
@Timberwolves|Timberwolves|March 28, 2020|1,006,473  (-17)|512  (0)|55,779  (+1)|5,752  (-3)|5,084  (0)
@Timberwolves|Timberwolves|March 27, 2020|1,006,490  (-119)|512  (0)|55,778  (+15)|5,755  (-3)|5,084  (+18)
@Timberwolves|Timberwolves|March 26, 2020|1,006,609  (+156)|512  (0)|55,763  (+15)|5,758  (-1)|5,066  (+3)
@Timberwolves|Timberwolves|March 25, 2020|1,006,453  (+147)|512  (0)|55,748  (+9)|5,759  (-1)|5,063  (+3)
@Timberwolves|Timberwolves|March 24, 2020|1,006,306  (+102)|512  (+1)|55,739  (+9)|5,760  (+5)|5,060  (+7)
@Timberwolves|Timberwolves|March 23, 2020|1,006,204  (+15)|511  (0)|55,730  (+37)|5,755  (+8)|5,053  (+10)
@Timberwolves|Timberwolves|March 22, 2020|1,006,189  (+27)|511  (0)|55,693  (+5)|5,747  (+3)|5,043  (+1)
@Timberwolves|Timberwolves|March 21, 2020|1,006,162  (+68)|511  (0)|55,688  (+1)|5,744  (+1)|5,042  (+1)
