account|team|date|followers|following|tweets|lists|favourites
@Raptors|Toronto Raptors|April 5, 2020|2,181,395  (+40)|15,503  (-3)|65,960  (+9)|7,572  (+2)|13,361  (+2)
@Raptors|Toronto Raptors|April 4, 2020|2,181,355  (+1)|15,506  (-4)|65,951  (+28)|7,570  (-4)|13,359  (+10)
@Raptors|Toronto Raptors|April 3, 2020|2,181,354  (+134)|15,510  (0)|65,923  (+7)|7,574  (-1)|13,349  (+3)
@Raptors|Toronto Raptors|April 2, 2020|2,181,220  (+158)|15,510  (-2)|65,916  (+6)|7,575  (0)|13,346  (0)
@Raptors|Toronto Raptors|April 1, 2020|2,181,062  (+150)|15,512  (+1)|65,910  (+31)|7,575  (-2)|13,346  (+14)
@Raptors|Toronto Raptors|March 31, 2020|2,180,912  (+150)|15,511  (-3)|65,879  (+12)|7,577  (-6)|13,332  (+7)
@Raptors|Toronto Raptors|March 30, 2020|2,180,762  (+166)|15,514  (-2)|65,867  (+8)|7,583  (+3)|13,325  (-1)
@Raptors|Toronto Raptors|March 29, 2020|2,180,596  (+268)|15,516  (-1)|65,859  (+6)|7,580  (-8)|13,326  (+1)
@Raptors|Toronto Raptors|March 28, 2020|2,180,328  (+112)|15,517  (+2)|65,853  (+6)|7,588  (+3)|13,325  (+6)
@Raptors|Toronto Raptors|March 27, 2020|2,180,216  (+38)|15,515  (0)|65,847  (+6)|7,585  (0)|13,319  (+4)
@Raptors|Toronto Raptors|March 26, 2020|2,180,178  (+202)|15,515  (-1)|65,841  (+9)|7,585  (-2)|13,315  (+3)
@Raptors|Toronto Raptors|March 25, 2020|2,179,976  (+324)|15,516  (-3)|65,832  (+5)|7,587  (+2)|13,312  (+6)
@Raptors|Toronto Raptors|March 24, 2020|2,179,652  (+326)|15,519  (0)|65,827  (+10)|7,585  (+5)|13,306  (+5)
@Raptors|Toronto Raptors|March 23, 2020|2,179,326  (+292)|15,519  (0)|65,817  (+6)|7,580  (+5)|13,301  (+5)
@Raptors|Toronto Raptors|March 22, 2020|2,179,034  (+185)|15,519  (-1)|65,811  (+4)|7,575  (+8)|13,296  (-1)
@Raptors|Toronto Raptors|March 21, 2020|2,178,849  (+233)|15,520  (-2)|65,807  (+4)|7,567  (-1)|13,297  (+1)
@Raptors|Toronto Raptors|March 20, 2020|2,178,616  (+88)|15,522  (-1)|65,803  (+1)|7,568  (-1)|13,296  (+3)
@Raptors|Toronto Raptors|March 19, 2020|2,178,528  (+23)|15,523  (-1)|65,802  (+10)|7,569  (-2)|13,293  (+7)
@Raptors|Toronto Raptors|March 18, 2020|2,178,505  (+17)|15,524  (-2)|65,792  (+2)|7,571  (+1)|13,286  (+5)
@Raptors|Toronto Raptors|March 17, 2020|2,178,488  (+180)|15,526  (-2)|65,790  (+4)|7,570  (-1)|13,281  (+2)
@Raptors|Toronto Raptors|March 16, 2020|2,178,308  (+202)|15,528  (-2)|65,786  (+3)|7,571  (-2)|13,279  (+4)
@Raptors|Toronto Raptors|March 15, 2020|2,178,106  (+416)|15,530  (0)|65,783  (+1)|7,573  (0)|13,275  (-1)
@Raptors|Toronto Raptors|March 14, 2020|2,177,690  (+461)|15,530  (0)|65,782  (+4)|7,573  (+7)|13,276  (+2)
@Raptors|Toronto Raptors|March 13, 2020|2,177,229  (+698)|15,530  (+2)|65,778  (+3)|7,566  (+1)|13,274  (0)
@Raptors|Toronto Raptors|March 12, 2020|2,176,531  (+822)|15,528  (-1)|65,775  (+2)|7,565  (+1)|13,274  (0)
@Raptors|Toronto Raptors|March 11, 2020|2,175,709  (+399)|15,529  (0)|65,773  (+6)|7,564  (+2)|13,274  (+3)
@Raptors|Toronto Raptors|March 10, 2020|2,175,310  (+541)|15,529  (+1)|65,767  (+41)|7,562  (+3)|13,271  (+4)
@Raptors|Toronto Raptors|March 9, 2020|2,174,769  (+463)|15,528  (-2)|65,726  (+38)|7,559  (+6)|13,267  (+4)
@Raptors|Toronto Raptors|March 8, 2020|2,174,306  (+344)|15,530  (+1)|65,688  (+5)|7,553  (+1)|13,263  (+4)
@Raptors|Toronto Raptors|March 7, 2020|2,173,962  (+478)|15,529  (+1)|65,683  (+5)|7,552  (+3)|13,259  (+5)
@Raptors|Toronto Raptors|March 6, 2020|2,173,484  (+530)|15,528  (0)|65,678  (+41)|7,549  (+3)|13,254  (+4)
@Raptors|Toronto Raptors|March 5, 2020|2,172,954  (+168)|15,528  (-1)|65,637  (+4)|7,546  (+1)|13,250  (+5)
@Raptors|Toronto Raptors|March 4, 2020|2,172,786  (+559)|15,529  (0)|65,633  (+37)|7,545  (+2)|13,245  (+1)
@Raptors|Toronto Raptors|March 3, 2020|2,172,227  (+444)|15,529  (0)|65,596  (+3)|7,543  (+1)|13,244  (+1)
@Raptors|Toronto Raptors|March 2, 2020|2,171,783  (+557)|15,529  (-1)|65,593  (+27)|7,542  (0)|13,243  (-1)
@Raptors|Toronto Raptors|March 1, 2020|2,171,226  (+552)|15,530  (-1)|65,566  (+4)|7,542  (-1)|13,244  (0)
@Raptors|Toronto Raptors|February 29, 2020|2,170,674  (+484)|15,531  (-2)|65,562  (+25)|7,543  (+1)|13,244  (0)
@Raptors|Toronto Raptors|February 28, 2020|2,170,190  (+449)|15,533  (-1)|65,537  (+11)|7,542  (0)|13,244  (+1)
@Raptors|Toronto Raptors|February 27, 2020|2,169,741  (+496)|15,534  (-1)|65,526  (+13)|7,542  (-1)|13,243  (+4)
@Raptors|Toronto Raptors|February 26, 2020|2,169,245  (+1,143)|15,535  (-1)|65,513  (+31)|7,543  (-1)|13,239  (-1)
@Raptors|Toronto Raptors|February 25, 2020|2,168,102  (+839)|15,536  (-2)|65,482  (+11)|7,544  (+7)|13,240  (+2)
@Raptors|Toronto Raptors|February 24, 2020|2,167,263  (+1,089)|15,538  (-1)|65,471  (+40)|7,537  (+1)|13,238  (+5)
@Raptors|Toronto Raptors|February 23, 2020|2,166,174  (+687)|15,539  (+1)|65,431  (+8)|7,536  (+2)|13,233  (+5)
@Raptors|Toronto Raptors|February 22, 2020|2,165,487  (+653)|15,538  (0)|65,423  (+37)|7,534  (-1)|13,228  (+3)
@Raptors|Toronto Raptors|February 21, 2020|2,164,834  (+689)|15,538  (-3)|65,386  (+9)|7,535  (-1)|13,225  (+2)
@Raptors|Toronto Raptors|February 20, 2020|2,164,145  (+563)|15,541  (0)|65,377  (+3)|7,536  (+5)|13,223  (+2)
@Raptors|Toronto Raptors|February 19, 2020|2,163,582  (+495)|15,541  (+2)|65,374  (+10)|7,531  (-2)|13,221  (+2)
@Raptors|Toronto Raptors|February 18, 2020|2,163,087  (+742)|15,539  (-2)|65,364  (+7)|7,533  (+11)|13,219  (+1)
@Raptors|Toronto Raptors|February 17, 2020|2,162,345  (+1,114)|15,541  (-2)|65,357  (+31)|7,522  (+4)|13,218  (+3)
@Raptors|Toronto Raptors|February 16, 2020|2,161,231  (+814)|15,543  (-1)|65,326  (+15)|7,518  (-4)|13,215  (+4)
@Raptors|Toronto Raptors|February 15, 2020|2,160,417  (+729)|15,544  (0)|65,311  (+21)|7,522  (+7)|13,211  (+7)
@Raptors|Toronto Raptors|February 14, 2020|2,159,688  (+636)|15,544  (+1)|65,290  (+4)|7,515  (-2)|13,204  (+1)
