account|team|date|followers|following|tweets|lists|favourites
@UtahJazz|Utah Jazz|April 5, 2020|993,609  (+73)|313  (0)|66,322  (+2)|5,991  (+3)|18,036  (0)
@UtahJazz|Utah Jazz|April 4, 2020|993,536  (+58)|313  (0)|66,320  (0)|5,988  (-2)|18,036  (0)
@UtahJazz|Utah Jazz|April 3, 2020|993,478  (+98)|313  (+1)|66,320  (+14)|5,990  (0)|18,036  (+6)
@UtahJazz|Utah Jazz|April 2, 2020|993,380  (+162)|312  (+1)|66,306  (+13)|5,990  (-7)|18,030  (+5)
@UtahJazz|Utah Jazz|April 1, 2020|993,218  (+145)|311  (0)|66,293  (+8)|5,997  (-2)|18,025  (+4)
@UtahJazz|Utah Jazz|March 31, 2020|993,073  (+147)|311  (0)|66,285  (+10)|5,999  (0)|18,021  (+6)
@UtahJazz|Utah Jazz|March 30, 2020|992,926  (+87)|311  (0)|66,275  (+5)|5,999  (+2)|18,015  (+3)
@UtahJazz|Utah Jazz|March 29, 2020|992,839  (+212)|311  (0)|66,270  (+6)|5,997  (-2)|18,012  (+1)
@UtahJazz|Utah Jazz|March 28, 2020|992,627  (+149)|311  (0)|66,264  (+6)|5,999  (-2)|18,011  (+4)
@UtahJazz|Utah Jazz|March 27, 2020|992,478  (+40)|311  (0)|66,258  (+9)|6,001  (0)|18,007  (+8)
@UtahJazz|Utah Jazz|March 26, 2020|992,438  (+244)|311  (0)|66,249  (+11)|6,001  (-2)|17,999  (+3)
@UtahJazz|Utah Jazz|March 25, 2020|992,194  (-223)|311  (0)|66,238  (+3)|6,003  (-2)|17,996  (-1)
@UtahJazz|Utah Jazz|March 24, 2020|992,417  (+596)|311  (0)|66,235  (+5)|6,005  (+7)|17,997  (+5)
@UtahJazz|Utah Jazz|March 23, 2020|991,821  (+160)|311  (0)|66,230  (+14)|5,998  (+5)|17,992  (+19)
@UtahJazz|Utah Jazz|March 22, 2020|991,661  (+60)|311  (+1)|66,216  (+2)|5,993  (+1)|17,973  (+2)
@UtahJazz|Utah Jazz|March 21, 2020|991,601  (+157)|310  (-1)|66,214  (+8)|5,992  (+2)|17,971  (+7)
@UtahJazz|Utah Jazz|March 20, 2020|991,444  (+126)|311  (0)|66,206  (+9)|5,990  (-1)|17,964  (-5)
@UtahJazz|Utah Jazz|March 19, 2020|991,318  (+31)|311  (0)|66,197  (+10)|5,991  (+2)|17,969  (+7)
@UtahJazz|Utah Jazz|March 18, 2020|991,287  (+136)|311  (0)|66,187  (+3)|5,989  (+3)|17,962  (0)
@UtahJazz|Utah Jazz|March 17, 2020|991,151  (+159)|311  (0)|66,184  (0)|5,986  (-6)|17,962  (-2)
@UtahJazz|Utah Jazz|March 16, 2020|990,992  (+115)|311  (+1)|66,184  (+3)|5,992  (+2)|17,964  (+1)
@UtahJazz|Utah Jazz|March 15, 2020|990,877  (+343)|310  (0)|66,181  (+2)|5,990  (+3)|17,963  (0)
@UtahJazz|Utah Jazz|March 14, 2020|990,534  (+387)|310  (0)|66,179  (+5)|5,987  (+1)|17,963  (-1)
@UtahJazz|Utah Jazz|March 13, 2020|990,147  (+442)|310  (0)|66,174  (+6)|5,986  (-1)|17,964  (+3)
@UtahJazz|Utah Jazz|March 12, 2020|989,705  (+1,433)|310  (0)|66,168  (+4)|5,987  (+7)|17,961  (+2)
@UtahJazz|Utah Jazz|March 11, 2020|988,272  (+145)|310  (+1)|66,164  (+7)|5,980  (+1)|17,959  (+5)
@UtahJazz|Utah Jazz|March 10, 2020|988,127  (+199)|309  (+2)|66,157  (+53)|5,979  (-3)|17,954  (+4)
@UtahJazz|Utah Jazz|March 9, 2020|987,928  (+157)|307  (0)|66,104  (+9)|5,982  (+1)|17,950  (0)
@UtahJazz|Utah Jazz|March 8, 2020|987,771  (+163)|307  (0)|66,095  (+28)|5,981  (+3)|17,950  (-1)
@UtahJazz|Utah Jazz|March 7, 2020|987,608  (+233)|307  (0)|66,067  (+51)|5,978  (0)|17,951  (+6)
@UtahJazz|Utah Jazz|March 6, 2020|987,375  (+233)|307  (0)|66,016  (+9)|5,978  (+3)|17,945  (0)
@UtahJazz|Utah Jazz|March 5, 2020|987,142  (+226)|307  (0)|66,007  (+43)|5,975  (-2)|17,945  (+7)
@UtahJazz|Utah Jazz|March 4, 2020|986,916  (+350)|307  (0)|65,964  (+9)|5,977  (+3)|17,938  (+3)
@UtahJazz|Utah Jazz|March 3, 2020|986,566  (+367)|307  (0)|65,955  (+41)|5,974  (-2)|17,935  (+2)
@UtahJazz|Utah Jazz|March 2, 2020|986,199  (+392)|307  (0)|65,914  (+7)|5,976  (+10)|17,933  (+6)
@UtahJazz|Utah Jazz|March 1, 2020|985,807  (+407)|307  (0)|65,907  (+2)|5,966  (0)|17,927  (+1)
@UtahJazz|Utah Jazz|February 29, 2020|985,400  (+279)|307  (+1)|65,905  (+47)|5,966  (-3)|17,926  (+7)
@UtahJazz|Utah Jazz|February 28, 2020|985,121  (+227)|306  (0)|65,858  (+10)|5,969  (+4)|17,919  (+2)
@UtahJazz|Utah Jazz|February 27, 2020|984,894  (+283)|306  (0)|65,848  (+36)|5,965  (0)|17,917  (-2)
@UtahJazz|Utah Jazz|February 26, 2020|984,611  (+350)|306  (0)|65,812  (+16)|5,965  (-1)|17,919  (-1)
@UtahJazz|Utah Jazz|February 25, 2020|984,261  (+394)|306  (0)|65,796  (+30)|5,966  (-2)|17,920  (-1)
@UtahJazz|Utah Jazz|February 24, 2020|983,867  (+501)|306  (0)|65,766  (+12)|5,968  (0)|17,921  (-1)
@UtahJazz|Utah Jazz|February 23, 2020|983,366  (+567)|306  (0)|65,754  (+40)|5,968  (0)|17,922  (+5)
@UtahJazz|Utah Jazz|February 22, 2020|982,799  (+367)|306  (0)|65,714  (+32)|5,968  (+1)|17,917  (+2)
@UtahJazz|Utah Jazz|February 21, 2020|982,432  (+347)|306  (0)|65,682  (+10)|5,967  (+1)|17,915  (-4)
@UtahJazz|Utah Jazz|February 20, 2020|982,085  (+207)|306  (0)|65,672  (+4)|5,966  (+2)|17,919  (0)
@UtahJazz|Utah Jazz|February 19, 2020|981,878  (+50)|306  (0)|65,668  (+3)|5,964  (+1)|17,919  (-3)
@UtahJazz|Utah Jazz|February 18, 2020|981,828  (+344)|306  (0)|65,665  (0)|5,963  (+4)|17,922  (0)
@UtahJazz|Utah Jazz|February 17, 2020|981,484  (+541)|306  (0)|65,665  (+40)|5,959  (+2)|17,922  (+11)
@UtahJazz|Utah Jazz|February 16, 2020|980,943  (+460)|306  (0)|65,625  (+5)|5,957  (+2)|17,911  (+5)
