account|team|date|followers|following|tweets|lists|favourites
@WashWizards|Washington Wizards|April 5, 2020|1,055,470  (+59)|636  (+1)|65,474  (+9)|5,970  (+1)|1,435  (+1)
@WashWizards|Washington Wizards|April 4, 2020|1,055,411  (+70)|635  (0)|65,465  (+24)|5,969  (+1)|1,434  (+4)
@WashWizards|Washington Wizards|April 3, 2020|1,055,341  (+78)|635  (0)|65,441  (+32)|5,968  (0)|1,430  (+5)
@WashWizards|Washington Wizards|April 2, 2020|1,055,263  (+11)|635  (0)|65,409  (+36)|5,968  (-3)|1,425  (+4)
@WashWizards|Washington Wizards|April 1, 2020|1,055,252  (+85)|635  (+1)|65,373  (+25)|5,971  (-5)|1,421  (+8)
@WashWizards|Washington Wizards|March 31, 2020|1,055,167  (+14)|634  (-1)|65,348  (+12)|5,976  (-5)|1,413  (+2)
@WashWizards|Washington Wizards|March 30, 2020|1,055,153  (-59)|635  (0)|65,336  (+10)|5,981  (+2)|1,411  (+2)
@WashWizards|Washington Wizards|March 29, 2020|1,055,212  (+52)|635  (0)|65,326  (+30)|5,979  (+1)|1,409  (+4)
@WashWizards|Washington Wizards|March 28, 2020|1,055,160  (-49)|635  (0)|65,296  (+31)|5,978  (-3)|1,405  (+3)
@WashWizards|Washington Wizards|March 27, 2020|1,055,209  (-89)|635  (0)|65,265  (+16)|5,981  (-2)|1,402  (+10)
@WashWizards|Washington Wizards|March 26, 2020|1,055,298  (+41)|635  (0)|65,249  (+33)|5,983  (0)|1,392  (+1)
@WashWizards|Washington Wizards|March 25, 2020|1,055,257  (+54)|635  (0)|65,216  (+22)|5,983  (-1)|1,391  (+11)
@WashWizards|Washington Wizards|March 24, 2020|1,055,203  (+18)|635  (0)|65,194  (+44)|5,984  (+9)|1,380  (+16)
@WashWizards|Washington Wizards|March 23, 2020|1,055,185  (+75)|635  (0)|65,150  (+34)|5,975  (+6)|1,364  (+32)
@WashWizards|Washington Wizards|March 22, 2020|1,055,110  (+8)|635  (0)|65,116  (+30)|5,969  (+5)|1,332  (+12)
@WashWizards|Washington Wizards|March 21, 2020|1,055,102  (+37)|635  (+5)|65,086  (+18)|5,964  (-2)|1,320  (+5)
@WashWizards|Washington Wizards|March 20, 2020|1,055,065  (+27)|630  (0)|65,068  (+20)|5,966  (+1)|1,315  (+7)
@WashWizards|Washington Wizards|March 19, 2020|1,055,038  (-31)|630  (+1)|65,048  (+16)|5,965  (+1)|1,308  (+4)
@WashWizards|Washington Wizards|March 18, 2020|1,055,069  (+28)|629  (0)|65,032  (+29)|5,964  (+3)|1,304  (+7)
@WashWizards|Washington Wizards|March 17, 2020|1,055,041  (+137)|629  (0)|65,003  (+2)|5,961  (-3)|1,297  (+6)
@WashWizards|Washington Wizards|March 16, 2020|1,054,904  (+15)|629  (0)|65,001  (+2)|5,964  (+2)|1,291  (0)
@WashWizards|Washington Wizards|March 15, 2020|1,054,889  (+118)|629  (0)|64,999  (+3)|5,962  (-1)|1,291  (0)
@WashWizards|Washington Wizards|March 14, 2020|1,054,771  (+276)|629  (0)|64,996  (+2)|5,963  (+1)|1,291  (+1)
@WashWizards|Washington Wizards|March 13, 2020|1,054,495  (+394)|629  (0)|64,994  (+3)|5,962  (+1)|1,290  (0)
@WashWizards|Washington Wizards|March 12, 2020|1,054,101  (+524)|629  (0)|64,991  (+5)|5,961  (+1)|1,290  (0)
@WashWizards|Washington Wizards|March 11, 2020|1,053,577  (+280)|629  (0)|64,986  (+83)|5,960  (+1)|1,290  (+8)
@WashWizards|Washington Wizards|March 10, 2020|1,053,297  (+195)|629  (0)|64,903  (+31)|5,959  (-1)|1,282  (+2)
@WashWizards|Washington Wizards|March 9, 2020|1,053,102  (+206)|629  (0)|64,872  (+61)|5,960  (0)|1,280  (+5)
@WashWizards|Washington Wizards|March 8, 2020|1,052,896  (+289)|629  (0)|64,811  (+19)|5,960  (-2)|1,275  (+5)
@WashWizards|Washington Wizards|March 7, 2020|1,052,607  (+284)|629  (0)|64,792  (+71)|5,962  (+2)|1,270  (+11)
@WashWizards|Washington Wizards|March 6, 2020|1,052,323  (+290)|629  (0)|64,721  (+20)|5,960  (+4)|1,259  (+3)
@WashWizards|Washington Wizards|March 5, 2020|1,052,033  (+259)|629  (0)|64,701  (+36)|5,956  (0)|1,256  (0)
@WashWizards|Washington Wizards|March 4, 2020|1,051,774  (+374)|629  (0)|64,665  (+41)|5,956  (0)|1,256  (+2)
@WashWizards|Washington Wizards|March 3, 2020|1,051,400  (+403)|629  (+1)|64,624  (+15)|5,956  (+3)|1,254  (0)
@WashWizards|Washington Wizards|March 2, 2020|1,050,997  (+486)|628  (0)|64,609  (+63)|5,953  (+5)|1,254  (+7)
@WashWizards|Washington Wizards|March 1, 2020|1,050,511  (+553)|628  (+1)|64,546  (+14)|5,948  (0)|1,247  (+3)
@WashWizards|Washington Wizards|February 29, 2020|1,049,958  (+500)|627  (0)|64,532  (+49)|5,948  (+2)|1,244  (+3)
@WashWizards|Washington Wizards|February 28, 2020|1,049,458  (+384)|627  (0)|64,483  (+16)|5,946  (+2)|1,241  (+2)
@WashWizards|Washington Wizards|February 27, 2020|1,049,074  (+508)|627  (0)|64,467  (+67)|5,944  (-2)|1,239  (+6)
@WashWizards|Washington Wizards|February 26, 2020|1,048,566  (+357)|627  (0)|64,400  (+23)|5,946  (-1)|1,233  (+7)
@WashWizards|Washington Wizards|February 25, 2020|1,048,209  (+601)|627  (-1)|64,377  (+67)|5,947  (+1)|1,226  (+8)
@WashWizards|Washington Wizards|February 24, 2020|1,047,608  (+429)|628  (-2)|64,310  (+52)|5,946  (0)|1,218  (+2)
@WashWizards|Washington Wizards|February 23, 2020|1,047,179  (+497)|630  (0)|64,258  (+14)|5,946  (+2)|1,216  (+4)
@WashWizards|Washington Wizards|February 22, 2020|1,046,682  (+694)|630  (0)|64,244  (+49)|5,944  (-3)|1,212  (+6)
@WashWizards|Washington Wizards|February 21, 2020|1,045,988  (+333)|630  (0)|64,195  (+32)|5,947  (+3)|1,206  (+5)
@WashWizards|Washington Wizards|February 20, 2020|1,045,655  (+302)|630  (+1)|64,163  (+17)|5,944  (+1)|1,201  (+1)
@WashWizards|Washington Wizards|February 19, 2020|1,045,353  (+436)|629  (0)|64,146  (+7)|5,943  (+1)|1,200  (0)
@WashWizards|Washington Wizards|February 18, 2020|1,044,917  (+388)|629  (-1)|64,139  (+6)|5,942  (+4)|1,200  (0)
@WashWizards|Washington Wizards|February 17, 2020|1,044,529  (+692)|630  (0)|64,133  (+6)|5,938  (+3)|1,200  (+1)
@WashWizards|Washington Wizards|February 16, 2020|1,043,837  (+594)|630  (0)|64,127  (+32)|5,935  (+3)|1,199  (+2)
@WashWizards|Washington Wizards|February 15, 2020|1,043,243  (+490)|630  (0)|64,095  (+40)|5,932  (+2)|1,197  (+3)
@WashWizards|Washington Wizards|February 14, 2020|1,042,753  (+340)|630  (0)|64,055  (+30)|5,930  (+1)|1,194  (+1)
@WashWizards|Washington Wizards|February 13, 2020|1,042,413  (+413)|630  (0)|64,025  (+49)|5,929  (+6)|1,193  (+1)
@WashWizards|Washington Wizards|February 12, 2020|1,042,000  (+525)|630  (0)|63,976  (+58)|5,923  (+1)|1,192  (+3)
@WashWizards|Washington Wizards|February 11, 2020|1,041,475  (+361)|630  (0)|63,918  (+14)|5,922  (-1)|1,189  (+1)
@WashWizards|Washington Wizards|February 10, 2020|1,041,114  (+349)|630  (+1)|63,904  (+46)|5,923  (0)|1,188  (0)
@WashWizards|Washington Wizards|February 9, 2020|1,040,765  (+453)|629  (0)|63,858  (+14)|5,923  (+1)|1,188  (0)
@WashWizards|Washington Wizards|February 8, 2020|1,040,312  (+721)|629  (0)|63,844  (+97)|5,922  (+4)|1,188  (+10)
@WashWizards|Washington Wizards|February 7, 2020|1,039,591  (+571)|629  (+2)|63,747  (+40)|5,918  (+2)|1,178  (0)
@WashWizards|Washington Wizards|February 6, 2020|1,039,020  (+532)|627  (+1)|63,707  (+14)|5,916  (+1)|1,178  (+2)
@WashWizards|Washington Wizards|February 5, 2020|1,038,488  (+358)|626  (0)|63,693  (+33)|5,915  (+4)|1,176  (+2)
@WashWizards|Washington Wizards|February 4, 2020|1,038,130  (+402)|626  (0)|63,660  (+65)|5,911  (+3)|1,174  (+3)
@WashWizards|Washington Wizards|February 3, 2020|1,037,728  (+385)|626  (-1)|63,595  (+19)|5,908  (+6)|1,171  (+1)
@WashWizards|Washington Wizards|February 2, 2020|1,037,343  (+442)|627  (0)|63,576  (+75)|5,902  (+2)|1,170  (+3)
@WashWizards|Washington Wizards|February 1, 2020|1,036,901  (+578)|627  (0)|63,501  (+19)|5,900  (0)|1,167  (+1)
@WashWizards|Washington Wizards|January 31, 2020|1,036,323  (+366)|627  (0)|63,482  (+73)|5,900  (+1)|1,166  (+2)
@WashWizards|Washington Wizards|January 30, 2020|1,035,957  (+461)|627  (+1)|63,409  (+20)|5,899  (+5)|1,164  (+5)
@WashWizards|Washington Wizards|January 29, 2020|1,035,496  (+534)|626  (-1)|63,389  (+37)|5,894  (0)|1,159  (0)
@WashWizards|Washington Wizards|January 28, 2020|1,034,962  (+936)|627  (0)|63,352  (+22)|5,894  (+2)|1,159  (0)
@WashWizards|Washington Wizards|January 27, 2020|1,034,026  (+2,648)|627  (0)|63,330  (+24)|5,892  (-2)|1,159  (+3)
@WashWizards|Washington Wizards|January 26, 2020|1,031,378  (+1,035)|627  (0)|63,306  (+13)|5,894  (+1)|1,156  (0)
@WashWizards|Washington Wizards|January 25, 2020|1,030,343  (+229)|627  (0)|63,293  (+5)|5,893  (-2)|1,156  (+1)
@WashWizards|Washington Wizards|January 24, 2020|1,030,114  (+216)|627  (0)|63,288  (+60)|5,895  (+1)|1,155  (0)
@WashWizards|Washington Wizards|January 23, 2020|1,029,898  (+181)|627  (+1)|63,228  (+69)|5,894  (-1)|1,155  (+2)
@WashWizards|Washington Wizards|January 22, 2020|1,029,717  (+170)|626  (0)|63,159  (+17)|5,895  (+2)|1,153  (+2)
@WashWizards|Washington Wizards|January 21, 2020|1,029,547  (+143)|626  (+1)|63,142  (+45)|5,893  (+3)|1,151  (+5)
@WashWizards|Washington Wizards|January 20, 2020|1,029,404  (+111)|625  (0)|63,097  (+61)|5,890  (-1)|1,146  (0)
@WashWizards|Washington Wizards|January 19, 2020|1,029,293  (+201)|625  (0)|63,036  (+8)|5,891  (0)|1,146  (+1)
@WashWizards|Washington Wizards|January 18, 2020|1,029,092  (+194)|625  (0)|63,028  (+25)|5,891  (-1)|1,145  (0)
@WashWizards|Washington Wizards|January 17, 2020|1,028,898  (+217)|625  (-1)|63,003  (+14)|5,892  (+3)|1,145  (+5)
@WashWizards|Washington Wizards|January 16, 2020|1,028,681  (+225)|626  (+2)|62,989  (+50)|5,889  (+1)|1,140  (+3)
@WashWizards|Washington Wizards|January 15, 2020|1,028,456  (+279)|624  (+1)|62,939  (+12)|5,888  (-3)|1,137  (+2)
@WashWizards|Washington Wizards|January 14, 2020|1,028,177  (+165)|623  (0)|62,927  (+16)|5,891  (+2)|1,135  (+1)
@WashWizards|Washington Wizards|January 13, 2020|1,028,012  (+197)|623  (0)|62,911  (+20)|5,889  (+1)|1,134  (+1)
@WashWizards|Washington Wizards|January 12, 2020|1,027,815  (+208)|623  (+1)|62,891  (+51)|5,888  (+1)|1,133  (+3)
@WashWizards|Washington Wizards|January 11, 2020|1,027,607  (+182)|622  (-1)|62,840  (+66)|5,887  (-2)|1,130  (+2)
@WashWizards|Washington Wizards|January 10, 2020|1,027,425  (+209)|623  (0)|62,774  (+16)|5,889  (+2)|1,128  (+1)
@WashWizards|Washington Wizards|January 9, 2020|1,027,216  (+153)|623  (0)|62,758  (+37)|5,887  (+3)|1,127  (0)
@WashWizards|Washington Wizards|January 8, 2020|1,027,063  (+213)|623  (0)|62,721  (+17)|5,884  (+5)|1,127  (+1)
@WashWizards|Washington Wizards|January 7, 2020|1,026,850  (+273)|623  (0)|62,704  (+71)|5,879  (-3)|1,126  (+4)
@WashWizards|Washington Wizards|January 6, 2020|1,026,577  (+223)|623  (+1)|62,633  (+18)|5,882  (+1)|1,122  (0)
@WashWizards|Washington Wizards|January 5, 2020|1,026,354  (+255)|622  (0)|62,615  (+69)|5,881  (0)|1,122  (0)
@WashWizards|Washington Wizards|January 4, 2020|1,026,099  (+213)|622  (0)|62,546  (+39)|5,881  (-1)|1,122  (+1)
@WashWizards|Washington Wizards|January 3, 2020|1,025,886  (+48)|622  (-15)|62,507  (+17)|5,882  (+1)|1,121  (+2)
@WashWizards|Washington Wizards|January 2, 2020|1,025,838  (+120)|637  (0)|62,490  (+44)|5,881  (-2)|1,119  (0)
@WashWizards|Washington Wizards|January 1, 2020|1,025,718  (+75)|637  (+1)|62,446  (+23)|5,883  (+3)|1,119  (0)
@WashWizards|Washington Wizards|December 31, 2019|1,025,643  (+148)|636  (0)|62,423  (+76)|5,880  (+2)|1,119  (0)
@WashWizards|Washington Wizards|December 30, 2019|1,025,495  (+206)|636  (0)|62,347  (+11)|5,878  (+1)|1,119  (0)
@WashWizards|Washington Wizards|December 29, 2019|1,025,289  (+205)|636  (0)|62,336  (+44)|5,877  (0)|1,119  (0)
@WashWizards|Washington Wizards|December 28, 2019|1,025,084  (+181)|636  (0)|62,292  (+8)|5,877  (+4)|1,119  (+2)
@WashWizards|Washington Wizards|December 27, 2019|1,024,903  (+98)|636  (0)|62,284  (+29)|5,873  (0)|1,117  (+1)
@WashWizards|Washington Wizards|December 26, 2019|1,024,805  (-65)|636  (+1)|62,255  (+42)|5,873  (-1)|1,116  (+6)
@WashWizards|Washington Wizards|December 25, 2019|1,024,870  (+165)|635  (0)|62,213  (+98)|5,874  (0)|1,110  (+26)
@WashWizards|Washington Wizards|December 24, 2019|1,024,705  (+238)|635  (0)|62,115  (+63)|5,874  (0)|1,084  (0)
@WashWizards|Washington Wizards|December 23, 2019|1,024,467  (+275)|635  (0)|62,052  (+11)|5,874  (+6)|1,084  (+1)
@WashWizards|Washington Wizards|December 22, 2019|1,024,192  (+185)|635  (0)|62,041  (+32)|5,868  (-1)|1,083  (+2)
@WashWizards|Washington Wizards|December 21, 2019|1,024,007  (+181)|635  (0)|62,009  (+44)|5,869  (-1)|1,081  (0)
@WashWizards|Washington Wizards|December 20, 2019|1,023,826  (+261)|635  (0)|61,965  (+9)|5,870  (+6)|1,081  (+1)
@WashWizards|Washington Wizards|December 19, 2019|1,023,565  (+211)|635  (+1)|61,956  (+50)|5,864  (+2)|1,080  (+3)
@WashWizards|Washington Wizards|December 18, 2019|1,023,354  (+183)|634  (+1)|61,906  (+24)|5,862  (0)|1,077  (+7)
@WashWizards|Washington Wizards|December 17, 2019|1,023,171  (+275)|633  (0)|61,882  (+76)|5,862  (-2)|1,070  (+2)
@WashWizards|Washington Wizards|December 16, 2019|1,022,896  (+155)|633  (+1)|61,806  (+15)|5,864  (+1)|1,068  (-1)
@WashWizards|Washington Wizards|December 15, 2019|1,022,741  (+330)|632  (0)|61,791  (+36)|5,863  (-2)|1,069  (+3)
@WashWizards|Washington Wizards|December 14, 2019|1,022,411  (+245)|632  (0)|61,755  (+18)|5,865  (-4)|1,066  (+7)
@WashWizards|Washington Wizards|December 13, 2019|1,022,166  (+183)|632  (0)|61,737  (+12)|5,869  (+4)|1,059  (+1)
@WashWizards|Washington Wizards|December 12, 2019|1,021,983  (+176)|632  (0)|61,725  (+17)|5,865  (+6)|1,058  (+3)
@WashWizards|Washington Wizards|December 11, 2019|1,021,807  (+347)|632  (0)|61,708  (+49)|5,859  (+2)|1,055  (+2)
